playerid,dates,handle,ggr,last_12months_segment,Target_CG,bonus
1217510,7/15/2019,283.19,67.82,high,Control Group,0
1269563,1/21/2019,283,100,no bet,Target,5
1298747,9/3/2019,283,5.5,low,Target,5
1517784,1/21/2020,283,-71,regnodep,Target,5
1158811,1/6/2020,282.75,74.89,low,Target,5
1217510,9/6/2019,282.68,53.05,high,Control Group,0
1227846,8/18/2019,282.64,19.64,low,Control Group,0
1223889,1/24/2020,282.55,105.25,medium,Target,10
1204304,2/27/2019,282.3,10,low,Target,5
1281511,3/30/2019,282.2,70.7,low,Target,5
1259556,10/19/2019,281.3,49.94,low,Control Group,0
1233289,7/26/2019,281,-551.02,medium,Target,10
1217510,12/25/2019,281,82.97,high,Control Group,0
1324458,1/22/2020,281,136.1,low,Target,5
1233289,11/19/2019,280.8,70.9,medium,Target,10
1171041,3/10/2019,280.6,41.77,high,Target,20
1178832,1/23/2019,280.1,20,medium,Target,10
1201401,11/27/2019,280.05,144.62,low,Target,5
1131432,4/1/2019,280,82,medium,Target,10
1170277,4/4/2019,280,98.75,high,Target,20
1269553,9/17/2019,280,80,medium,Target,10
1302559,11/7/2019,280,150.65,high,Target,20
1346329,12/24/2019,280,160,low,Target,5
1174496,5/6/2019,279.6,25.27,low,Control Group,0
1130358,4/23/2019,279.55,59.88,low,Target,5
1148935,7/27/2019,279.4,60.93,medium,Target,10
1133225,9/7/2019,279.28,76.13,medium,Target,10
1170277,4/24/2019,279,100.6,high,Target,20
1272983,1/25/2020,278.8,145.21,high,Target,20
1225365,7/31/2019,278.6,49.99,low,Target,5
1263148,3/1/2019,278.2,100,vip,Target,50
1181743,12/8/2019,278.08,104.79,low,Target,5
1167338,9/6/2019,278,20.05,medium,Target,10
1160970,12/21/2019,277.75,70.27,low,Control Group,0
1170277,6/11/2019,277.5,98.75,high,Target,20
1128604,6/27/2019,277.2,30,medium,Target,10
1250542,9/24/2019,277.2,36.75,low,Target,5
1310527,1/5/2020,277,-42.5,low,Target,5
1195690,4/13/2019,276.5,100,high,Control Group,0
1160970,10/18/2019,276.4,29.16,low,Control Group,0
1178832,7/5/2019,276.2,-10.81,medium,Target,10
1164847,1/25/2020,276.06,16.66,high,Target,20
1165513,2/5/2019,276,44.85,vip,Target,50
1160970,8/29/2019,275.95,-41.9,low,Control Group,0
1263148,6/3/2019,275.85,199.93,vip,Target,50
1347143,1/21/2020,275.85,30.9,low,Target,5
1160970,2/5/2019,275.5,52,low,Control Group,0
1164847,3/17/2019,275.46,79.98,high,Target,20
1161474,11/3/2019,275.21,19.98,low,Target,5
1131432,12/24/2019,275.09,112.63,medium,Target,10
1139939,7/8/2019,275.05,129.71,low,Target,5
1269553,7/21/2019,275,42.5,medium,Target,10
1421812,11/24/2019,275,90,low,Target,5
1227846,1/15/2020,274.9,94.96,low,Control Group,0
1160970,10/4/2019,274.8,-40.96,low,Control Group,0
1164847,1/22/2020,274.38,99.99,high,Target,20
1178832,3/21/2019,274.35,-32.83,medium,Target,10
1164847,12/4/2019,273.66,49.92,high,Target,20
1160970,12/13/2019,273,77.35,low,Control Group,0
1128604,7/13/2019,272.9,29.97,medium,Target,10
1217510,6/9/2019,272.75,58.93,high,Control Group,0
1160970,12/31/2019,272.65,-47.65,low,Control Group,0
1139939,4/23/2019,272.5,100.06,low,Target,5
1251036,5/4/2019,272.5,4.95,medium,Control Group,0
1299413,1/25/2020,272.41,66,medium,Target,10
1215456,3/8/2019,272.25,19.78,low,Control Group,0
1227846,1/14/2020,272.1,-34.97,low,Control Group,0
1233289,3/23/2019,272,80.6,medium,Target,10
1269553,10/15/2019,272,98,medium,Target,10
1177666,4/26/2019,271.9,104.85,medium,Control Group,0
1133225,5/13/2019,271.7,50,medium,Target,10
1217510,4/14/2019,271.55,26.24,high,Control Group,0
1128604,4/5/2019,271.3,19.95,medium,Target,10
1281511,4/5/2019,271.12,20.02,low,Target,5
1227846,9/3/2019,271,19.9,low,Control Group,0
1233289,9/2/2019,271,77.95,medium,Target,10
1475654,1/18/2020,271,-4.93,low,Target,5
1178832,11/3/2019,270.92,-135.11,medium,Target,10
1170277,4/15/2019,270.9,155.95,high,Target,20
1133225,11/24/2019,270.69,99.29,medium,Target,10
1233289,6/1/2019,270.64,-59.33,medium,Target,10
1153955,5/3/2019,270.35,111.25,medium,Target,10
1128604,4/23/2019,270.2,39.65,medium,Target,10
1164847,7/26/2019,270.09,99.51,high,Target,20
1276093,5/18/2019,270,110,medium,Target,10
1187561,7/8/2019,270,14.73,high,Target,20
1131432,11/8/2019,270,98,medium,Target,10
1170277,4/6/2019,269.75,100.5,high,Target,20
1518066,1/21/2020,269.55,9.91,regnodep,Control Group,0
1200495,1/26/2020,269.5,149.95,low,Target,5
1244748,4/10/2019,269.44,39.94,medium,Target,10
1269553,7/8/2019,269,36,medium,Target,10
1298892,12/22/2019,269,-35,medium,Target,10
1458054,2/5/2020,268.95,155.23,low,Target,5
1157739,12/11/2019,268.9,1.96,low,Target,5
